song_id,artist,title,release_year,migracion_hits,migracion_score,narco_hits,narco_score,politica_mx_hits,politica_mx_score,politica_us_hits,politica_us_score,dominant_topic
1620305,Los Tigres del Norte,Rifaré Mi Suerte,,1,10.8696,0,0.0,0,0.0,0,0.0,migracion
1015052,Los Tigres del Norte,Rock del corazón,,0,0.0,0,0.0,0,0.0,0,0.0,none
1074370,Los Tigres del Norte,Romance oculto,,0,0.0,0,0.0,0,0.0,0,0.0,none
2122134,Los Tigres del Norte,Rosita de oliva,,0,0.0,0,0.0,0,0.0,0,0.0,none
948251,Los Tigres del Norte,Rosita de Olivo,,4,31.4961,0,0.0,0,0.0,0,0.0,migracion
1514860,Los Tigres del Norte,Rumbo al sur,,0,0.0,1,6.4935,0,0.0,0,0.0,narco
886753,Los Tigres del Norte,R-Uno,,1,5.848,1,5.848,3,17.5439,2,11.6959,politica_mx
1679413,Los Tigres del Norte,Sabas Lopez,,0,0.0,0,0.0,0,0.0,0,0.0,none
1119392,Los Tigres del Norte,Sala de espera,,0,0.0,0,0.0,0,0.0,0,0.0,none
1518593,Los Tigres del Norte,Sangre caliente,,0,0.0,5,32.0513,0,0.0,0,0.0,narco
1998861,Los Tigres del Norte,Se me acabó el tequila,,0,0.0,0,0.0,0,0.0,0,0.0,none
1170950,Los Tigres del Norte,Será mi castigo,,0,0.0,0,0.0,0,0.0,0,0.0,none
1178723,Los Tigres del Norte,Si estás durmiendo,,0,0.0,0,0.0,0,0.0,0,0.0,none
937918,Los Tigres del Norte,Sigamos pecando,,0,0.0,0,0.0,0,0.0,0,0.0,none
1604260,Los Tigres del Norte,Si me vas a dejar,,0,0.0,0,0.0,0,0.0,0,0.0,none
1115956,Los Tigres del Norte,Si mides el tamaño,,0,0.0,0,0.0,0,0.0,0,0.0,none
1560713,Los Tigres del Norte,Sin fronteras,,0,0.0,2,10.7527,1,5.3763,0,0.0,narco
1242661,Los Tigres del Norte,Sin ti,,0,0.0,0,0.0,0,0.0,0,0.0,none
1054732,Los Tigres del Norte,"Sí, sí, sí",,0,0.0,0,0.0,0,0.0,0,0.0,none
860974,Los Tigres del Norte,Si volvemos otra vez,,0,0.0,0,0.0,0,0.0,0,0.0,none
686635,Los Tigres del Norte,Somos Más Americanos,,11,46.6102,1,4.2373,0,0.0,0,0.0,migracion
1709021,Los Tigres del Norte,Son tus perjúmenes mujer,,0,0.0,0,0.0,0,0.0,0,0.0,none
1508207,Los Tigres del Norte,También las mujeres pueden,,3,13.3333,5,22.2222,0,0.0,0,0.0,narco
1219845,Los Tigres del Norte,Tan bonita,,0,0.0,0,0.0,0,0.0,0,0.0,none
1669772,Los Tigres del Norte,Tan sólo un amigo,,0,0.0,0,0.0,0,0.0,0,0.0,none
2050059,Los Tigres del Norte,Tanta mentira,,0,0.0,0,0.0,0,0.0,0,0.0,none
870757,Los Tigres del Norte,Te he de olvidar,,0,0.0,0,0.0,0,0.0,0,0.0,none
902781,Los Tigres del Norte,Te odio y te quiero,,0,0.0,0,0.0,0,0.0,0,0.0,none
1074414,Los Tigres del Norte,Te vengo a decir adiós,,0,0.0,0,0.0,0,0.0,0,0.0,none
962252,Los Tigres del Norte,Tiempos de ayer,,0,0.0,0,0.0,0,0.0,0,0.0,none
867873,Los Tigres del Norte,Tiempos de mayo,,2,9.1743,1,4.5872,0,0.0,0,0.0,migracion
1150208,Los Tigres del Norte,Tonta (tonto),,0,0.0,0,0.0,0,0.0,0,0.0,none
878793,Los Tigres del Norte,Trabajo Por Mi Cuenta,,3,16.7598,1,5.5866,0,0.0,0,0.0,migracion
896656,Los Tigres del Norte,Trigueña hermosa,,0,0.0,0,0.0,0,0.0,0,0.0,none
12021482,Los Tigres del Norte,Tu Cárcel,,0,0.0,0,0.0,0,0.0,0,0.0,none
12021481,Los Tigres del Norte,Tu Cárcel (En Vivo),,0,0.0,0,0.0,0,0.0,0,0.0,none
921640,Los Tigres del Norte,Tu cariño,,0,0.0,1,9.5238,0,0.0,0,0.0,narco
1080699,Los Tigres del Norte,Tu Castigo,,0,0.0,0,0.0,0,0.0,0,0.0,none
1666873,Los Tigres del Norte,"Tú con él, yo con ella",,0,0.0,0,0.0,0,0.0,0,0.0,none
1468796,Los Tigres del Norte,Tú decides,,2,27.3973,0,0.0,0,0.0,0,0.0,migracion
1023318,Los Tigres del Norte,Tu recuerdo y yo,,0,0.0,0,0.0,0,0.0,0,0.0,none
1558597,Los Tigres del Norte,Tus ausencias,,0,0.0,0,0.0,0,0.0,0,0.0,none
1168633,Los Tigres del Norte,Tus dos vestidos,,0,0.0,0,0.0,0,0.0,0,0.0,none
11884726,Los Tigres del Norte,Tus Últimas Palabras,,0,0.0,0,0.0,0,0.0,0,0.0,none
